Chunk ID,Text Chunk,Source URL
1,"185 
ESSAYS FROM 
1/vOMIC AND POLITICAL WEEKLY.
15 7 ;: EsSA _.  
,-- - . . L WEEKLY :I This volume marħ the sesquicdlnlennial of the events of 1857, in 
whljĨh mijlti;\pionged,' '!tidespredd and in many instances, 
organised resistance broke out agarmt the British across nonĩ 
India. The contributions in this voluĪ iook at several aspects of 
1857, and assess its events not n;ie'reJy in terms of their 
immec! 4iacy, but in the reper.cussions thot they had politically, 
sociallī1 and militarily . .The essays lool< at hqw,{listoriography has 
10ccorded its own interpretation to 1851 Ĭĭd its effects, an 
,o.ter..pretbtion that is changing even today. The e6llection has been groupe9 \(Ito \fivfi sections, each of 
which explores diverse aspects of 1857. TĮe,tirst section looks at 
historical perspectives and is titled ""Then f(nį Nl;O>} Rl'eI, .. 
""Sepoys and Soldiers"" looks at the milHgry aspec:Jİ tt,e third, 
""The Marginst ı frcm the point of view' o.f Ĳalits; the fourth, 
""Fictional Representations"" studies how 18ĳ hc!ls been depicted 
in literature; and the fiĴh, ""lt,e Arts and 185':11o&ĵs at 185 7 as it 
has inspired films, muĶ1end.'.ftne art, 
Held together with a prefacķ' 
•ĸr ami. Ĺ)Jbyay, the 
essays ir this volume-that range_ . t,!,ĺme ond sĻļ,1'om 
h(Ľfolib'g'raphy and military>engogements.,to the dalľĿi;6'ngonos 
idealised in tradition 
soŀgs dn? the ""un.c;6nventiorial 
protaŁoriisfi,1 ip .1p1u,tiny łov'els-converg,e ri Ńr.i,ńom_mŅ.ņ ??l,; 
to enrich the ,Ňmg Ylati'odaňdebotes onthe 1857 Uprising. Cover image: PlarTQf Battle of Cawnpoor, by William Ma+kenzie, 
superimposed on thlll sketch, Cawnpore in 1857 (C Lisa Alpperton). Cover design: OSDATA, Hyderabad 
OBSN 978 0 00106 485 1 
1111111 
Orient BlackSwan 
9 780001 064850 
1857: Essays from Economic and Political Weekly
1857 
ESSAYS FROM 
ECONOMIC AND POLITICAL WEEKLY
ESSAYS FROM 
ECONOMIC AND POLITICAL WEEKLY Orient BlackSwan 
in association 
with 
SAMEEKSHA TRUST
ORIENT BLACKSWAN PRIVATE LIMITED 
Registered Office 
3-6-752, Himayatnagar, Hyderabad 500 029 (A.P.), India 
e-mail: centraloffice@orientblackswan.com",1857_Essay_from_economics_and_political_weekly$@$20250528_151036/1857_Essay_from_economics_and_political_weekly.pdf#page=1
2,"the ""un.c;6nventiorial 
protaŁoriisfi,1 ip .1p1u,tiny łov'els-converg,e ri Ńr.i,ńom_mŅ.ņ ??l,; 
to enrich the ,Ňmg Ylati'odaňdebotes onthe 1857 Uprising. Cover image: PlarTQf Battle of Cawnpoor, by William Ma+kenzie, 
superimposed on thlll sketch, Cawnpore in 1857 (C Lisa Alpperton). Cover design: OSDATA, Hyderabad 
OBSN 978 0 00106 485 1 
1111111 
Orient BlackSwan 
9 780001 064850 
1857: Essays from Economic and Political Weekly
1857 
ESSAYS FROM 
ECONOMIC AND POLITICAL WEEKLY
ESSAYS FROM 
ECONOMIC AND POLITICAL WEEKLY Orient BlackSwan 
in association 
with 
SAMEEKSHA TRUST
ORIENT BLACKSWAN PRIVATE LIMITED 
Registered Office 
3-6-752, Himayatnagar, Hyderabad 500 029 (A.P.), India 
e-mail: centraloffice@orientblackswan.com Other Offices 
Bangalore, Bhopal, Bhubaneshwar, Chennai, 
Emakulam, Guwahati, Hyderabad, Jaipur, Kolkata, 
Lucknow, Mumbai, New Delhi, Patna 
© Sameeksha Trust 2008 
Cover design 
© Orient Blackswan Private Limited 
first published by Orient Longman Private Limited 2008 
Reprinted 2008 
first Orient Blackswan impression 2011 
ISBN: 978 0 00106 485 0 
Printed in India at 
Graphica Printers 
Hyderabad 500 013 
Published by 
Orient Blackswan Private Limited 
3-6-752, Himayatnagar, Hyderabad 500 029 (A.P.), India 
e-mail: hyderabad@orientblackswan .corn
Preface 
ALL the essays in this volume, save one, were first published in 
the Economic and Political Weekly of May 12, 2007 in a special 
issue titled '1857'. Sekhar Bandyopadhyay's introductory essay was specially 
written for this volume. EPW is grateful to all the authors for their contributions and for 
permission to include the essays in this volume. EPW is indebted to Dipesh Chakrabarty, lndivar Kamtekar 
and Biswamoy Pati for their suggestions, advice and guidance 
in organising the essays. Without their help, this collection 
would not have been possible. Contents 
Page 
Preface 
V 
1. Eighteen-Fifty-Seven and Its Many Histories 
SEKHAR BANDYOPADHYAY 
l 
OVERVIEW 2. Historians and Historiography: Situating 1857 
B1sw AMOY PA TI 
25 
3. Remembering 1857: An Introductory Note 
DIPESH CHAKRABARTY 
45 
THEN AND NOW 
4. On the Rebellion of 1857: 
A Brief History of an Idea PETER ROBB 
59 
5. Multiple Meanings of 1857 for Indians in Britain 
MICHAEL H FISHER 
81 
6. New Lamps for Old: Colonial Experiments with 
Vernacular Education, Pre- and Post-1857 
ANU KUMAR 
103 
7. History as Revenge and Retaliation: 
Rereading Savarkar's The War of 
Independence of 1857 JYOTIRMAYA SHARMA 
123 
SEPOYS AND SOLDIERS 8. The Beginning of 'People's War' in India 
KAUSHIK Roy 
135 
9. The Rebel Army in 1857: At the Vanguard of the 
War of Independence or a Tyranny of Arms? SABYASACHI DASGUPTA 
161
viii Contents 
THE MARGINS 
10. Reactivating the Past: Dalits and Memories of 1857 
BADRI NARAYAN 
177 
11. Dalit 'Vir2nganas' and Reinvention of 1857 
CHARU GUPTA 
193 
12. In Search of Alternative Histories of 1857: 
Witch-hunts, Adivasis, and the Uprising 
in Chhotanagpur SHASHANK SINHA 
FICTIONAL REPRESENT A TI ONS 
13.",1857_Essay_from_economics_and_political_weekly$@$20250528_151036/1857_Essay_from_economics_and_political_weekly.pdf#page=2
3,"8. The Beginning of 'People's War' in India 
KAUSHIK Roy 
135 
9. The Rebel Army in 1857: At the Vanguard of the 
War of Independence or a Tyranny of Arms? SABYASACHI DASGUPTA 
161
viii Contents 
THE MARGINS 
10. Reactivating the Past: Dalits and Memories of 1857 
BADRI NARAYAN 
177 
11. Dalit 'Vir2nganas' and Reinvention of 1857 
CHARU GUPTA 
193 
12. In Search of Alternative Histories of 1857: 
Witch-hunts, Adivasis, and the Uprising 
in Chhotanagpur SHASHANK SINHA 
FICTIONAL REPRESENT A TI ONS 
13. The Mutiny Novel: Creating the Domestic Body 
213 
of the Empire AISHWARYA LAKSHMI 
229 
14. Inscribing the Rani of Jhansi in 
Colonial 'Mutiny' Fiction INDRANI SEN 
253 
THE ARTS AND 1857 
15. 1857 and Ideas about Nationhood in Bengal: 
Nuances and Themes SwARUPA GUPTA 
279 
16. Mangal Pandey: Film and History 
RocHONA MAJUMDAR, DIPESH CHAKRABARTY 
303 
17. 1857: Visibilising the 'Other' in History -
Courtesans and the Revolt LATA SINGH 
18. Music and Society in North India: 
From the Mughals to the Mutiny 
JON BARLOW, LAKSHMI SUBRAMANIAN 
329 
339
1 
Eighteen-Fifty-Seven and Its Many Histories 
Sekhar Bandyopadhyay 
WHAT happened in the year 1857 in large parts of northern and 
central India has been given many names - some thought it was 
a ""mutiny"" of the sepoys of the British Indian Army; others 
believed it to be a ""popular revolt"" of the civilian population. William Dalrymple has recently used the term ""Uprising"". 1 Eric 
Stokes, one of the foremost historians of 1857, has convincingly 
argued that it was not one movement but many;2 so any one 
name possibly will not suffice. Yet, the names only signal the 
kind of meaning we intend to impute into this history. In the last 
150 years almost every aspect of this history has been contested, 
re-imagined and re-invented for their presentist use. It is there­
fore one of the most written about episodes oflndian history. In 
1998 Vipin Jain published an annotated bibliography on the 
""Indian mutiny"" - as it is more popularly known in the interna­
tional historical literature. He listed 1,172 printed books in 
European languages, 369 articles from journals and periodicals 
and 108 works of fiction. 3 And that list is now already about nine 
years out of date, and we may add to that the ever growing 
number of books and articles written in Indian regional lan­
guages. In these years the debates on 1857 have progressed 
further and the present book is yet another contribution to that 
ongoing dialogue. However, what is important about this book 
is that the essays here do not represent any homogeneous view 
and therefore shed light on a variety of contested issues and 
epistemological positions.",1857_Essay_from_economics_and_political_weekly$@$20250528_151036/1857_Essay_from_economics_and_political_weekly.pdf#page=3
4,"3 And that list is now already about nine 
years out of date, and we may add to that the ever growing 
number of books and articles written in Indian regional lan­
guages. In these years the debates on 1857 have progressed 
further and the present book is yet another contribution to that 
ongoing dialogue. However, what is important about this book 
is that the essays here do not represent any homogeneous view 
and therefore shed light on a variety of contested issues and 
epistemological positions. And the essays deal with not just 
what happened in 1857, but also with how those events have 
been remembered, reinvented, memorialised and put to 
presentist use. What is interesting about the history of 1857 is that it has been 
claimed by both the history of the empire as well as by the
2 
1857: Essays fro& Economic and Political Weekly 
history of nationalism, and as Dipesh Chakrabarty mentions in 
this book, by the history of insurgency and popular protest as 
well. But none of these claims have gone uncontested or were 
ever considered as unproblematic. For example, the most 
immediate imperial interpretation of the revolt was that it was 
a Muslim conspiracy to restore the Mughal empire an allega­
tion which Syed Ahmed Khan countered almost immediately in 
a passionate pamphlet written in 1858. 4However, the more 
dominant imperial stereotype, as Peter Robb shows in his 
chapter in this book, was that it was primarily a mutiny of the 
sepoys, later joined by the unruly mob, taking advantage of the 
general breakdown of law and order. However, around the 
same time there were people like Benjamin Disraeli or Karl 
Marx who could see the element of ""national revolt"" in what was 
being commonly described as the ""military mutiny"".5 Several 
years later in 1864John Kaye wrote the official history of 1857, 
A History of the Sepoy War in India, 1857-58, and James 
Fitzjames Stephen, the conservative utilitarian ideologue of the 
empire, could immediately use it in defence of the empire. In 
what happened in India in that fateful year was for him evidence 
enough to show that no one in that. country ""had in him any 
power of improvement or any wish for it"". 6 Hence they needed 
the enlightening touch of the Raj! In the writings of Charles Ball, 
John Kaye and George Trevelyan the history of 1857 became 
the history of its suppression, a history of the valour and courage 
of the English race and the glory of the empire.7 Recently, Tony 
Balantyne has shown that even in far-off New Zealand the 
indigenous Maori population were being told the stories of how 
the mutiny was suppressed in India, with a not so covert 
message about the futility of resistance to the empire and its 
possible consequences.8",1857_Essay_from_economics_and_political_weekly$@$20250528_151036/1857_Essay_from_economics_and_political_weekly.pdf#page=4
5,"6 Hence they needed 
the enlightening touch of the Raj! In the writings of Charles Ball, 
John Kaye and George Trevelyan the history of 1857 became 
the history of its suppression, a history of the valour and courage 
of the English race and the glory of the empire.7 Recently, Tony 
Balantyne has shown that even in far-off New Zealand the 
indigenous Maori population were being told the stories of how 
the mutiny was suppressed in India, with a not so covert 
message about the futility of resistance to the empire and its 
possible consequences.8 On the other hand, it is popularly believed that Veer 
Savarkar by calling it the ""First War of Indian Independence"" 
inducted the history of 1857 into the narrative of nationalism. Jyotirmaya Sharma reminds us in a chapter in this book that the 
word ""first"" did not feature in the original title of Savarkar's 
book - it was a later day interpolation. Whether it was ""first"" or 
at all ""a war of independence"" has been hotly contested in the 
last one and half century. On the 150th anniversary of the event 
the government oflndia has officially endorsed the term - ""First
Eighteen-Fifty-Seven and Its Ma y Histories 3 
War of Independence""; but as the media reports suggest, that 
endorsement has not gone without contestation in the Indian 
Parliament. 9 It will therefore be worthwhile to look at some of 
those contentious issues related to that romantic year and how 
does this book contribute to its many histories. CAUSES 
First of all, what happened in 1857 and why did it happen? It is now commonly believed that first was the mutiny of the 
sepoys in the Bengal army and it was caused by the greased 
cartridge for the newly introduced Enfield rifles that replaced 
the older Brown Bess muskets. Rumours spread quickly that the 
cartridge was greased with cow and pig fat, which neatly fitted 
into a long circulating conspiracy theory that the colonial 
authorities were out to destroy the religion of all Indians and 
convert them into Christianity. So Mangal Pandey in Barrackpore 
first raised the banner of protest on March 29 by refusing to use 
the cartridge and firing at his European officers. He was 
apprehended, court marshalled and hanged in April and he 
thus became in the nationalist legends the first martyr patriot of 
the Indian mutiny, his sacrifice recently celebrated in a popular, 
but controversial film, M angal Pandey: The Rising, which Rochana 
Majumdar and Dipesh Chakrabarty have examined in this 
book.",1857_Essay_from_economics_and_political_weekly$@$20250528_151036/1857_Essay_from_economics_and_political_weekly.pdf#page=5
6,"It is now commonly believed that first was the mutiny of the 
sepoys in the Bengal army and it was caused by the greased 
cartridge for the newly introduced Enfield rifles that replaced 
the older Brown Bess muskets. Rumours spread quickly that the 
cartridge was greased with cow and pig fat, which neatly fitted 
into a long circulating conspiracy theory that the colonial 
authorities were out to destroy the religion of all Indians and 
convert them into Christianity. So Mangal Pandey in Barrackpore 
first raised the banner of protest on March 29 by refusing to use 
the cartridge and firing at his European officers. He was 
apprehended, court marshalled and hanged in April and he 
thus became in the nationalist legends the first martyr patriot of 
the Indian mutiny, his sacrifice recently celebrated in a popular, 
but controversial film, M angal Pandey: The Rising, which Rochana 
Majumdar and Dipesh Chakrabarty have examined in this 
book. Yet, we rarely appreciate what some recent researches 
have shown, that nothing happened so suddenly in March .1857, 
nor was the defiance of Mangal Pandey directly related to what 
happened since May in large parts of central and northern 
India.10 
Indeed, it was for a long time that serious grievances were 
developing among the sepoys, as their privileges were gradually 
being curtailed and the expansion of the empire was putting on 
them extra burden of work, much of which went against their 
religious and caste susceptibilities. In November 1824 there was 
a fiercer mutiny in Barrackpore, when the sepoys refused to 
go to Burma, as crossing the 'kalapani', they feared, would 
compromise their caste status. The mutiny was suppressed with 
exemplary ruthlessness. But what historian Premansu 
Bandyopadhyay calls the ""First Sepoy Mutiny"" 11 remained un­
known in imperial or nationalist histories because it was a 
mutiny with limited aims, and not directed at the destruction of
4 
1857: Essays from Economic and Political Weekly 
British rule. Similar discontent was simmering in the 1830s in the 
Bengal army, as Seema Alavi has shown, because the caste 
and religious privileges of the high caste sepoys were being 
gradually cut back in the empire's attempt to have greater 
control over the sepoys' lives and families. 12 
Kausik Roy tells us in his essay in this book that such acts of 
defiance were not always punished, as scope for limited dissent 
was built i.nto the system. But what the sepoys in Meerut did on 
May 10 was not limited dissent and in that sense it was different 
from the individual defiance of Mangal Pandey. He was protest­
ing against the infringement of his caste privilege and his 
individual sacrifice did not immediately lead to a collective 
revolt. ""An accidental hero"", as Rudrangshu Mukehrjee has 
argued, Pandey came to represent all the rebels of 1857 more 
due to imperial construction. 13",1857_Essay_from_economics_and_political_weekly$@$20250528_151036/1857_Essay_from_economics_and_political_weekly.pdf#page=6
7,"But what the sepoys in Meerut did on 
May 10 was not limited dissent and in that sense it was different 
from the individual defiance of Mangal Pandey. He was protest­
ing against the infringement of his caste privilege and his 
individual sacrifice did not immediately lead to a collective 
revolt. ""An accidental hero"", as Rudrangshu Mukehrjee has 
argued, Pandey came to represent all the rebels of 1857 more 
due to imperial construction. 13 On the contrary, it was the 
sepoys in Meerut who took their defiance from limited dissent 
to the next step of collectively challenging British rule. They 
marched on to Delhi and on March 11 they compelled the 
ageing Mughal Emperor Bahadur Shah Zafar to accept their 
leadership. The mutiny thus had its other reluctant hero, who 
provided it with the much needed political legitimacy. Towards the middle of the 19th century, the Indians and the 
British officers in the army barracks in India were living in two 
different worlds, their lives were sequenced by two different 
concepts of time, with less and less communication and inter­
action between the two. The zeal of the Evangelical missionaries 
(who started coming to India after 1813) and some of the British 
officers began to create insurmountable barriers of distrust and 
hatred between the two communities - in the army, as well as in 
the larger society. As practically the whole oflndia was now under 
British control, power bred arrogance. In the British bureau­
cracy there was now a sense of contempt for anything Indian. As they were ""absolute masters everywhere"", wrote one of them 
in 1857, ""restraint is cast away ... and [they display] a 
supercilious arrogance and contempt of the people. ""14Many 
Indians therefore legitimately believed that their religions and 
cultures were under threat and this explains numerous rumours 
that were going around in the army barracks that told of a 
conspiracy to destroy the religions of both the Hindus and 
the Muslims. Eighteen-Fifty-Seven and Its Many Histories 5 
But apart from the rise of Evangelical Christianity and the 
growing arrogance of their officers, the sepoys were also 
distressed by other wider causes. A sizeable section of the 
sepoys in the Bengal army 
about 75,000 of them - had been 
recruited from Awadh. The annexation of Awadh in 1856 and 
the summary settlement that followed finally broke the trust 
between the Company's government and the sepoys, who were 
once its trusted instruments of empire building. 15 However, it 
needs to be pointed out that not all the sepoys in the British army 
joined the mutiny. The Bombay and the Madras armies did not 
join; in the Bengal army, as Kaushik Roy points out in his essay, 
about 1,00,000 either joined the mutiny or deserted, while 
30,000 remained loyal.",1857_Essay_from_economics_and_political_weekly$@$20250528_151036/1857_Essay_from_economics_and_political_weekly.pdf#page=7
8,"A sizeable section of the 
sepoys in the Bengal army 
about 75,000 of them - had been 
recruited from Awadh. The annexation of Awadh in 1856 and 
the summary settlement that followed finally broke the trust 
between the Company's government and the sepoys, who were 
once its trusted instruments of empire building. 15 However, it 
needs to be pointed out that not all the sepoys in the British army 
joined the mutiny. The Bombay and the Madras armies did not 
join; in the Bengal army, as Kaushik Roy points out in his essay, 
about 1,00,000 either joined the mutiny or deserted, while 
30,000 remained loyal. On the other hand, the Punjabi and 
Gurkha soldiers and the princely armies were used to suppress 
the rebellion. Even more complex and differentiated was the civilian revolt 
that followed the mutiny of the sepoys. First of all, many regions 
like Bengal, Punjab or entire south India - were not affected 
by what appeared to be a people's revolt in Awadh and North 
Western Provinces. In these regions the popular response was 
also differentiated as different groups of rural population were 
motivated by different sets of grievances. First, the princes were 
aggrieved because ofDalhousie's aggressive annexation policy. Thus Nana Sahib in Kanpur, Begum Hazrat Mahal in Awadh, 
Khan Bahadur Khan in Rohilkhand and Rani Lakshmibai in 
Jhansi became the legendary leaders of the popular rebellion. On the other hand, many other princes did not join and 
provided military assistance to the Company for the suppres­
sion of the rebellion. The other elements whose role is often 
considered crucial were the landed magnates or the over mighty 
'taluqdars' of Awadh and North-Western Provinces, who joined 
the rebellion as many of them had lost their land, their forts, 
their status and prestige due to successive land revenue settle­
ments of the previous era. rn But Eric Stokes17 has reminded us 
that not all of them had suffered, and some of them, the ""new 
magnates"", could indeed successfully manipulate the system 
and actually benefited from it and therefore exerted a moder­
ating influence on their communities. The crucial importance of the presence or absence of these 
feudal elements in the rebellion has been emphasised by a
6 
1857: Essays from Economic and Political Weekly 
number of historians; including Stokes and Judith Brown, who 
have argued about the ""elitist"" character of the rural revolt. 18 
This characterisation does not however take into account the 
fact that some of these old feudal elements like Nana Sahib or 
Rani ofJhansi-were actually coerced into joining the rebellion 
-just as Bahadur Shah Zafar was forced into its leadership by 
the sepoys, who needed their support to provide legitimacy to 
their movement.",1857_Essay_from_economics_and_political_weekly$@$20250528_151036/1857_Essay_from_economics_and_political_weekly.pdf#page=8
9,"The other elements whose role is often 
considered crucial were the landed magnates or the over mighty 
'taluqdars' of Awadh and North-Western Provinces, who joined 
the rebellion as many of them had lost their land, their forts, 
their status and prestige due to successive land revenue settle­
ments of the previous era. rn But Eric Stokes17 has reminded us 
that not all of them had suffered, and some of them, the ""new 
magnates"", could indeed successfully manipulate the system 
and actually benefited from it and therefore exerted a moder­
ating influence on their communities. The crucial importance of the presence or absence of these 
feudal elements in the rebellion has been emphasised by a
6 
1857: Essays from Economic and Political Weekly 
number of historians; including Stokes and Judith Brown, who 
have argued about the ""elitist"" character of the rural revolt. 18 
This characterisation does not however take into account the 
fact that some of these old feudal elements like Nana Sahib or 
Rani ofJhansi-were actually coerced into joining the rebellion 
-just as Bahadur Shah Zafar was forced into its leadership by 
the sepoys, who needed their support to provide legitimacy to 
their movement. 19 As for the Awadh taluqdars, Mukherjee has 
shown that often the peasants and the artisans forced their 
reluctant and vacillating taluqdars into action. Many· of them 
still did not join the rebels, others surrendered when the British 
troops arrived. 20In North-Western Provinces too, many taluqdars 
remained passively loyal, others tried to halt the tide of 
discontent. 21 In other words, the decision to join the rebellion or 
to continue the rebellion was not always in the hands of the 
feudal leadership. There was a good deal of autonomous 
initiative on the part of the sepoys and the peasants. However, 
why the peasants joined the revolt remains another challenging 
question regarding the events of 1857. Almost from the very beginning of colonial rule diverse 
sections oflndian peasantry in different regions actively resisted 
various changes brought in by the new regime in land 
revenue administration and property relations. These peasant 
movements were of varying intensity and scale, involving 
numbers ranging from ""several thousand(s)"" to ""hundreds of 
thousands"" of peasants. The most important and widespread 
conflagration of all was of course the revolt of 1857, affecting 
an estimated area of 5,00,000 square miles. 22 The more con­
ventional wisdom is that high revenue demands, the inroads 
of moneylenders into the rural economy and large-scale dis­
possession of taluqdars as well as small landholders in Awadh 
and the North-Western Provinces resulted in ""taluqdar-peasant 
complementarity of interests""23 and provided the motivation 
for the civilian revolt, which, according to S B Chaudhuri, 
represented ""a common effort to recover what they had lost"". But once again Eric Stokes24 has alerted us to the complexities 
of the situation.",1857_Essay_from_economics_and_political_weekly$@$20250528_151036/1857_Essay_from_economics_and_political_weekly.pdf#page=9
10,"The most important and widespread 
conflagration of all was of course the revolt of 1857, affecting 
an estimated area of 5,00,000 square miles. 22 The more con­
ventional wisdom is that high revenue demands, the inroads 
of moneylenders into the rural economy and large-scale dis­
possession of taluqdars as well as small landholders in Awadh 
and the North-Western Provinces resulted in ""taluqdar-peasant 
complementarity of interests""23 and provided the motivation 
for the civilian revolt, which, according to S B Chaudhuri, 
represented ""a common effort to recover what they had lost"". But once again Eric Stokes24 has alerted us to the complexities 
of the situation. The relatively fertile and irrigated areas 
could withstand the pressures of high revenue demands, while 
moneylenders were least interested in dry and backward 
areas where the revolt was quite intense. So it is difficult to
Eighteen-Fifty-Seven and Its Many Histories 7 
draw a direct correlation between economic factors and the 
intensity of the revolt in various regions. It was more a sense of 
relative deprivation and the power of caste and community ties 
('bhaiacharas') among various groups like the jats, rajputs, 
gujars or sayyids which became crucial factors in determining 
the intensity of the revolt. However, all the sections of the 
rural society were equally distressed by the aggressive 
preaching of the Christian missionaries and deeply distrustful of 
the social reform agenda of the colonial state. One could 
perhaps argue - tentatively - that the civilian population 
revolted for multiple reasons, but what united them was a 
common anxiety about their religion, which indeed defined 
their entire way of life. NATURE The nature of the mutiny of the sepoys and their relationship 
with the peasants is another contested issue of 1857. Rudrangshu 
Mukherjee argued in his book on Awadh that the sepoys were 
""peasants in uniform"" and now in rebellion against the state they 
shed their uniforms and seamlessly merged with the peasants. Their activities, he argued in a later essay on the sepoy mutiny, 
had all the ""features of peasant insurgency in the colonial 
period"". It was ""well planned"", with clearly defined decision­
making process through the panchayats; the targets were 
deliberately chosen to represent the property and person of 
their dominators. The mutinies ""were informed by a conscious­
ness of a project of power"" and therefore very smoothly they 
transformed into popular insurgency, as an aggrieved peasantry 
was ""waiting for the mutinies to initiate the uprising"". 25 However, 
this position has been questioned by Sabyasachi Dasgupta in his 
present essay in this book. The peasants were no longer 
peasants in uniform, because uniform itself, he argues, had 
transformed the sepoys into a new aspiring power elite of 
Indian society.",1857_Essay_from_economics_and_political_weekly$@$20250528_151036/1857_Essay_from_economics_and_political_weekly.pdf#page=10
