Chunk ID,Text Chunk,Source URL
1,"In the Shadow of the Incarnation
Essays on 
Jesus
Christ 
in the 
Early 
Church 
in Honor 
of 
EDITED BY
Peter W. Martens
Brian E.Daley, S.J. In the Shadow of the Incarnation
Brian E. Daley, S.J.  
Photo by Bachrach. In the SHADOW of the 
I N C A R N A T I O N Essays on Jesus Christ in the Early Church
in Honor of 
brian e. daley, s.j.
edited by
P E T E R  W. M A R T E N S
University of Notre Dame Press
Notre Dame, Indiana
Copyright © 2008 by University of Notre Dame
Notre Dame, Indiana 46556
www.undpress.nd.edu
All Rights Reserved
Manufactured in the United States of America
Library of Congress Cataloging-in-Publication Data In the shadow of the incarnation : essays on Jesus Christ in the early church 
in honor of Brian E. Daley, S.J. / edited by Peter W. Martens. p. cm. Includes bibliographical references and index. ISBN-13: 978-0-268-03511-2 (cloth : alk. paper)
 ISBN-10: 0-268-03511-3 (cloth : alk. paper)
1. Jesus Christ—History of doctrines—Early church, ca. 30–600. I. Daley, Brian, 1940– II. Martens, Peter William. BT198.I58 2008
232—dc22
2008027217
∞ The paper in this book meets the guidelines for permanence and 
durability of the Committee on Production Guidelines for Book Longevity 
of the Council on Library Resources. Contents
Abbreviations 
ix
Introduction 
1
Peter W. Martens
1  
The Apocalypse, Christ, and the Martyrs of Gaul 
11
D. Jeffrey Bingham
2  Athanasius’s Christology Today: The Life, Death,  
29
and  Resurrection of Christ in On the Incarnation
Khaled Anatolios
3  Expectatio Beatitudinis: The Eschatological Frame of Hilary  
50
of Poitiers’ Tractatus Super Psalmos
Michael C. McCarthy, S.J.
vi Contents
4 
Suffering without Pain: The Scandal of Hilary of Poitiers’  
71
 Christology
Carl L. Beckwith
5 
Gregory of Nazianzus on the Unity of Christ 
97
Christopher A. Beeley
6 
Two Early Nicenes: Eustathius of Antioch and Marcellus  
121
of  Ancyra
Kelley McCarthy Spoerl
7 
Loving Christ according to Origen and Augustine 
149
Basil Studer, O.S.B.
8 
Augustine’s Christology: Its Spirituality and Rhetoric 
176
Rowan Douglas Williams
9 
Christology as Contemplative Practice: Understanding  
190
the Union of Natures in Augustine’s Letter 137
Lewis Ayres
10 What Was “Wrong” with Augustine? The Sixth-Century  
212
 Reception (or Lack Thereof) of Augustine’s Christology
David R. Maxwell
11 The Persistence of Decay: Bodily Disintegration and  
228
Cyrillian Christology
John J. O’Keefe
Contents vii
12 Mystery or Conundrum?",430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation$@$20250530_170954/430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation.pdf#page=1
2,"BT198.I58 2008
232—dc22
2008027217
∞ The paper in this book meets the guidelines for permanence and 
durability of the Committee on Production Guidelines for Book Longevity 
of the Council on Library Resources. Contents
Abbreviations 
ix
Introduction 
1
Peter W. Martens
1  
The Apocalypse, Christ, and the Martyrs of Gaul 
11
D. Jeffrey Bingham
2  Athanasius’s Christology Today: The Life, Death,  
29
and  Resurrection of Christ in On the Incarnation
Khaled Anatolios
3  Expectatio Beatitudinis: The Eschatological Frame of Hilary  
50
of Poitiers’ Tractatus Super Psalmos
Michael C. McCarthy, S.J.
vi Contents
4 
Suffering without Pain: The Scandal of Hilary of Poitiers’  
71
 Christology
Carl L. Beckwith
5 
Gregory of Nazianzus on the Unity of Christ 
97
Christopher A. Beeley
6 
Two Early Nicenes: Eustathius of Antioch and Marcellus  
121
of  Ancyra
Kelley McCarthy Spoerl
7 
Loving Christ according to Origen and Augustine 
149
Basil Studer, O.S.B.
8 
Augustine’s Christology: Its Spirituality and Rhetoric 
176
Rowan Douglas Williams
9 
Christology as Contemplative Practice: Understanding  
190
the Union of Natures in Augustine’s Letter 137
Lewis Ayres
10 What Was “Wrong” with Augustine? The Sixth-Century  
212
 Reception (or Lack Thereof) of Augustine’s Christology
David R. Maxwell
11 The Persistence of Decay: Bodily Disintegration and  
228
Cyrillian Christology
John J. O’Keefe
Contents vii
12 Mystery or Conundrum? The Apprehension of Christ in  
246
the Chalcedonian Deﬁ nition
John A. McGuckin
13 From Doctrine of Christ to Icon of Christ: St. Maximus  
260
the  Confessor on the Transﬁ guration of Christ
Andrew Louth
The Works of Brian E. Daley, S.J. 
276
Contributors 
282
General Index 
285
Scripture Index 
288
ix
Abbreviations
Antirrh. Gregory of Nyssa, Antirrheticus adversus Apollinarium
Ar.  
Athanasius, Orationes tres adversus Arianos
Arian. Augustine, Contra sermonem Arianorum 
BA 
Bibliothèque augustinienne, Oeuvres de Saint Augustin, Paris: Desclée de Brouwer, 1949– 
C. Jul. op. imp. 
Augustine, Contra Julianum opus imperfectum 
Carm. Gregory of Nazianzus, Carmen 
CCSG 
Corpus Christianorum: Series graeca. Turnhout, 1977–
CCSL 
Corpus Christianorum: Series latina. Turnhout, 1953–
Cels. 
Origen, Contra Celsum
Civ.  
Augustine, De civitate Dei 
Comm. Cant. 
Origen, Commentarius in Canticum
Comm. Jo. 
Origen, Commentarii in evangelium Joannis
x Abbreviations
Comm. Matt. 
Origen, Commentarium in evangelium Matthaei
Comm. Rom. 
Origen, Commentarii in Romanos
Conf. Augustine, Confessiones
CSEL 
Corpus scriptorum ecclesiasticorum latinorum
De Engast. Eustathius, De Engastrimytho 
De or. 
Cicero, De oratore
De Trin. Hilary of Poitiers, De Trinitate
Decr.  
Athanasius, De decretis Nicaenae synodi
Dial. Origen, Dialogus cum Heraclide
Dial. contra Nest. 
Maxentius, Dialogus contra Nestorianos
Div. quaest. LXXXIII Augustine, De diversis quaestionibus LXXXIII
Doctr. chr. 
Augustine, De doctrina christiana
Enarrat. Ps. 
Augustine, Enarrationes in Psalmos
Enchir. Augustine, Enchiridion de ﬁ de, spe, et caritate 
Enn. 
Plotinus, Enneads
Ep. ad episc. Epistula ad episcopos 
Ep. Marcell. Athanasius, Epistula ad Marcellinum de",430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation$@$20250530_170954/430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation.pdf#page=2
3,"Ps. 
Augustine, Enarrationes in Psalmos
Enchir. Augustine, Enchiridion de ﬁ de, spe, et caritate 
Enn. 
Plotinus, Enneads
Ep. ad episc. Epistula ad episcopos 
Ep. Marcell. Athanasius, Epistula ad Marcellinum de interpretatione Psalmorum
Eun. 
Gregory of Nyssa, Contra Eunomium
Exp. Gal. 
Augustine, Expositio in epistulam ad Galatas
Faust. Augustine, Contra Faustum Manichaeum Fid. symb. Augustine, De ﬁ de et symbolo
GCS 
Die griechische christliche Schriftsteller der ersten Jahrhunderte
GNO 
Gregorii Nysseni Opera, ed. W. Jaeger et al. (Leiden: Brill, 1952–)
Abbreviations xi
Haer. 
Irenaeus, Adversus haeresus
Hist. Eccl. 
Historia ecclesiastica (various authors)
Hom. Exod. Origen, Homiliae in Exodum
Hom. Ezech. Origen, Homiliae in Ezechielem
Hom. Gen. 
Origen, Homiliae in Genesim
Hom. Jer. 
Origen, Homiliae in Jeremiam
Hom. Jos. 
Origen, Homiliae in Joshuam
Hom. Judic. 
Origen, Homiliae in Judices
Hom. Lev. 
Origen, Homiliae in Leviticum
Hom. Luc. 
Origen, Homiliae in Lucam
Hom. Num. Origen, Homiliae in Numeros
Hom. Ps. 
Origen, Homiliae in Psalmos 
Immort. an. 
Augustine, De immortalitate animae 
In Inscr. Ps. 
Gregory of Nyssa, In Inscriptiones Psalmorum
Inc. 
Athanasius, De incarnatione
Instr. Ps. 
Hilary of Poitiers, Instructio Psalmorum
Lib. arb. 
Augustine, De libero arbitrio
Libell. ﬁ d. 
Libellus ﬁ dei (chap. 10)
Mag. 
Augustine, De magistro
NBA 
Nuova biblioteca agostiniana, Opere di S. Agostino, edizione latino-italiana, Rome: Città Nuova, 1965– 
NPNF 
Nicene and Post-Nicene Fathers
Or. 
Gregory of Nazianus, Orationes 
Or. catech. Gregory of Nyssa, Oratio catechetica 
Orat. Origen, De oratione
xii Abbreviations
Ord. 
Augustine, De ordine
Pecc. merit. Augustine, De peccatorum meritis et remissione
PG 
Patrologia graeca. Edited by J.-P. Migne. 162 vols. Paris, 1857–86
PL 
Patrologia latina. Edited by J.-P. Migne. 217 vols. Paris, 1844–64
PLRE The Prosopography of the Later Roman Empire, 
3 vols., ed. A. H. M. Jones, J. R. Martindale, 
and J. Morris (Cambridge: Cambridge 
University Press, 1971)
Praed. Augustine, De praedestinatione sanctorum
Princ. 
Origen, De principiis 
Prof. brev. 
Professio brevissima catholicae ﬁ dei
Quant. an. 
Augustine, De quantitate animae
Resp. adv. epist. Maxentius, Responsio adversus Epistulam Hormisdae
SC 
Sources chrétiennes. Paris: Cerf, 1943– 
Serm. 
Augustine, Sermones
Serm. Dom. Augustine, De sermone Domini in montes
Sol. 
Augustine, Soliloquiorum libri II 
Spir. et litt. Augustine, De spiritu et littera
Tract. Ev. Jo. 
Augustine, In Evangelium Johannis tractatus
Tract. Ps. 
Hilary of Poitiers, Tractatus super Psalmos
Trin. Augustine, De Trinitate 
Tusc. 
Cicero, Tusculanae disputationes
Ver. rel. Augustine, De vera religione
1
Introduction
Peter W. Martens
T
he essays in this volume are offered in warm gratitude to Brian E. 
Daley, S.J.",430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation$@$20250530_170954/430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation.pdf#page=3
4,"Ev. Jo. 
Augustine, In Evangelium Johannis tractatus
Tract. Ps. 
Hilary of Poitiers, Tractatus super Psalmos
Trin. Augustine, De Trinitate 
Tusc. 
Cicero, Tusculanae disputationes
Ver. rel. Augustine, De vera religione
1
Introduction
Peter W. Martens
T
he essays in this volume are offered in warm gratitude to Brian E. 
Daley, S.J. They serve, to be sure, as only a small expression of 
thanks from a handful of the many who count themselves as Brian’s 
friends. They are centered on the topic of Jesus Christ in the early 
church and were commissioned on the occasion of our honoree’s sixty-
ﬁ fth birthday. I cannot introduce Brian Daley more succinctly or more faithfully 
than by describing him as a Jesuit priest. It is the Jesuit way of life that 
has ordered and shaped the rest of his life, including his vocation as a 
scholar. Brian entered the Society of Jesus in 1964, shortly after taking 
his B.A., Literae Humaniores from Oxford University. Long before he 
joined the Jesuits, however, the Society had already begun to mold 
him. Brian attended a Jesuit high school, St. Peter’s Preparatory School 
in New Jersey, and he earned his ﬁ rst college degree from another 
Jesuit institution, Fordham University (B.A. in Classics). After joining 
the Society, much of Brian’s early theological education transpired at 
the Jesuit Hochschule, Sankt Georgen (Frankfurt, Germany), where he 
served as the research assistant to Aloys Grillmeier, S.J. Brian would
2 Peter W. Martens
 return to Oxford, where he was awarded his Doctor of Philosophy for 
his thesis on Leontius of Byzantium. While at Oxford he lived at Cam-
pion Hall, a private house owned and run by the Jesuits. Much of Brian’s academic service and scholarship has been woven 
into the fabric of major Jesuit institutions. After graduating from Ox-
ford he taught for eighteen years at the Weston Jesuit School of The-
ology, one of two Jesuit seminaries in the United States. Over the years 
Brian has also served as a trustee at Le Moyne College, Boston College, 
and Fordham, and served as a member on the board of directors at 
Georgetown University. He was also an acting dean at Weston. He has 
been a member of the editorial boards of the series Studies in Jesuit 
Spiritu ality and of Communio: International Theological Review, and is 
an editor for  Traditio. His Ignatian identity has also been expressed in 
the larger ecclesiastical community, where his dedication to reconcili-
ation and ecumenism, integral to his understanding of Jesuit ministry, 
is evident. One of Brian’s enduring achievements is his contribution to 
 ecumenical dialogue.",430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation$@$20250530_170954/430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation.pdf#page=4
5,"He was also an acting dean at Weston. He has 
been a member of the editorial boards of the series Studies in Jesuit 
Spiritu ality and of Communio: International Theological Review, and is 
an editor for  Traditio. His Ignatian identity has also been expressed in 
the larger ecclesiastical community, where his dedication to reconcili-
ation and ecumenism, integral to his understanding of Jesuit ministry, 
is evident. One of Brian’s enduring achievements is his contribution to 
 ecumenical dialogue. Most notably, he has faithfully served for nearly 
twenty-ﬁ ve years as a member of the Orthodox-Roman Catholic Con-
sultation, a bilateral dialogue sponsored by Orthodox and Roman Ca-
tholic bishops of the United States. Brian’s Jesuit commitments overﬂ ow into the classroom and print. Perhaps without peer in his generation, Brian has cultivated a lifelong 
passion for the Christology of the early church. This is certainly not his 
only interest—the span of topics that he has tackled in print is remark-
able, ranging from Origen’s scriptural interpretation to the debates sur-
rounding the Filioque, from early Christian eschatology to late medieval 
iconography of Mary, from the relationship between Boethius and Byz-
antine scholasticism to Ignatian spirituality, from the episcopacy in the 
early church to commentary on the Catholic catechism—the list goes 
on. And none of this exhausts the incredible breadth of topics about 
which Brian can effortlessly converse, which is ﬁ tting for someone who 
has taken to heart the Ignatian ideal of a rich, cultural humanism. Nev-
ertheless, Jesus Christ in the early church is Brian’s central academic 
passion. At Sankt Georgen he had the privilege of studying under the 
eminent scholar of patristic Christology, Aloys Grillmeier, and several 
years later at Oxford, he was awarded his D.Phil. for his thesis on 
 Leontius of Byzantium, a theologian who played an integral role in the
Introduction 3
post-Chalcedonian debates about the person of Christ. Whether in ar-
ticles, translations, lectureships, books, or courses offered, Brian has 
continuously held before his own eyes, as well as those of his peers and 
students, the Christ who was contemplated, loved, and followed by 
early Christians. I 
have entitled this volume “In the Shadow of the Incarnation.” The
 phrase is inspired by a stirring passage in Origen’s On First Principles 
where the Alexandrian turns his treatise with “deepest amazement” to-
ward the mystery of the incarnation and, in particular, to Jesus’ soul 
(Princ. 2.6.1).",430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation$@$20250530_170954/430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation.pdf#page=5
6,"At Sankt Georgen he had the privilege of studying under the 
eminent scholar of patristic Christology, Aloys Grillmeier, and several 
years later at Oxford, he was awarded his D.Phil. for his thesis on 
 Leontius of Byzantium, a theologian who played an integral role in the
Introduction 3
post-Chalcedonian debates about the person of Christ. Whether in ar-
ticles, translations, lectureships, books, or courses offered, Brian has 
continuously held before his own eyes, as well as those of his peers and 
students, the Christ who was contemplated, loved, and followed by 
early Christians. I 
have entitled this volume “In the Shadow of the Incarnation.” The
 phrase is inspired by a stirring passage in Origen’s On First Principles 
where the Alexandrian turns his treatise with “deepest amazement” to-
ward the mystery of the incarnation and, in particular, to Jesus’ soul 
(Princ. 2.6.1). In Origen’s cosmic vision, this soul was unique among all 
other primordial souls since it clung with such an indissoluble love to 
the Son, Word, and Wisdom of God who had created it that, having re-
ceived so fully of this Son, this soul became “one spirit” with it and 
could ﬁ ttingly be called “the Son of God.” Origen then turns toward his 
reader with a pastoral exhortation. Surely it does not fall to the soul of 
Jesus alone to become, by imitation, “one spirit” with God’s Word, Wis-
dom, and Truth. After all, it was Paul who also wrote: “he who is joined 
to the Lord is one spirit” (1 Cor 6:17) (Princ. 2.6.3). As the soul of Jesus 
practiced a loving union with God’s Word and Wisdom, so too ought 
Origen’s readers to turn their souls in love toward the pioneer of their 
salvation. With these two loves in mind, Origen recollects the poetic lines ut-
tered by the prophet Jeremiah: “The breath of our countenance is Christ 
the Lord, of whom we said that we shall live under his shadow among 
the nations” (Lam 4:20). The depiction of Christ as a “shadow” rouses 
Origen’s exegetical imagination. Shadows, he notes, are inseparable 
from their bodies and unswervingly mimic their movements and ges-
tures. This is perhaps what the prophet had in mind when he was lik-
ening Christ to a “shadow”—the prophet was alluding to the action of 
Christ’s soul that was inseparably attached to the Word. And in the 
verse cited above, Jeremiah also speaks of Christ’s followers living 
“under his shadow among the nations.” Jesus’ disciples, Origen con-
cludes, live under his shadow to the extent that they “imitate that soul 
through faith and so reach salvation” (Princ. 2.6.7).",430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation$@$20250530_170954/430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation.pdf#page=6
7,"Shadows, he notes, are inseparable 
from their bodies and unswervingly mimic their movements and ges-
tures. This is perhaps what the prophet had in mind when he was lik-
ening Christ to a “shadow”—the prophet was alluding to the action of 
Christ’s soul that was inseparably attached to the Word. And in the 
verse cited above, Jeremiah also speaks of Christ’s followers living 
“under his shadow among the nations.” Jesus’ disciples, Origen con-
cludes, live under his shadow to the extent that they “imitate that soul 
through faith and so reach salvation” (Princ. 2.6.7). This richly allusive title, “In the Shadow of the Incarnation,” serves 
our volume well on several levels. It is inspired by the pen of one of the
4 Peter W. Martens
early church’s most distinguished theologians, and it also refers back to 
these theologians, who themselves sought to live under Christ’s shadow 
among the nations. The title also suggests more speciﬁ cally the theme 
of this book: Jesus Christ as he was perceived through the eyes and 
hearts of the early church’s scholars. These were theologians, after all, 
who were convinced that to live under the shadow of Christ also meant 
to reﬂ ect with unwavering gaze upon Christ. The title also points beyond this book to our honoree. Brian Daley 
has not only studied Jesus Christ in the early church, he has also sought 
to live “in the shadow of the incarnation.” Brian’s students, colleagues, 
and friends know him not only as a teacher of Christ but also as a dis-
ciple of Christ. Formed by Ignatius of Loyola’s Spiritual Exercises, 
whose sole objective is to help a person know and follow Christ more 
intimately, Brian lives in a religious community founded as the “Com-
pany of Jesus.” In the Notre Dame community, his academic home 
since 1996, he presides regularly at Eucharist in the basilica. Brian gives 
his time generously to the cura personalis of students, faculty, and ad-
ministration and fosters a warm relationship with his graduate stu-
dents. Some of my best memories in the doctoral program at Notre 
Dame come from our Monday evening gatherings at a local brewing 
company. There Brian reserved a large corner booth and read through 
a Greek text from the early church with a cluster of diligent graduate 
students (much to the amusement of the restaurant staff). Brian’s care 
for his students extends to his home as well. His hospitality and culi-
nary skills are repeatedly displayed for students and faculty at the aptly-
named “De Lubac House,” the Jesuit residence off campus named in 
honor of the proliﬁ c Jesuit scholar and student of the early church, 
Henri de Lubac.",430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation$@$20250530_170954/430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation.pdf#page=7
8,"Some of my best memories in the doctoral program at Notre 
Dame come from our Monday evening gatherings at a local brewing 
company. There Brian reserved a large corner booth and read through 
a Greek text from the early church with a cluster of diligent graduate 
students (much to the amusement of the restaurant staff). Brian’s care 
for his students extends to his home as well. His hospitality and culi-
nary skills are repeatedly displayed for students and faculty at the aptly-
named “De Lubac House,” the Jesuit residence off campus named in 
honor of the proliﬁ c Jesuit scholar and student of the early church, 
Henri de Lubac. Come Easter and Thanksgiving (and a few other oc-
casions as well), invitations to the De Lubac House are held in high 
 regard. The Ignatian heritage has left an indelible mark upon Brian’s life. Within the classroom, his voice is refreshingly free of ironic detach-
ment or abrasive polemic. It is rare, indeed, to ﬁ nd someone today who 
is willing to hold a conversation with the theologians of the early church 
under the conviction that they are our equals, worthy of being studied 
and heard on their own terms, worthy of informing and forming us, 
worthy of even having, on occasion, the last word. While incessant de-
Introduction 5
mands are placed upon Brian outside the classroom, he generously 
makes himself available to those who request his help and counsel. De-
spite towering erudition, Brian remains refreshingly unassuming, 
good-humored, and humble. And while he holds strong convictions, he 
speaks the truth in love. As others will testify, it is not selﬁ sh ambition 
that drives him, but rather his ever-growing love for Jesus Christ. So, if Brian is in any way apprehensive about being honored with 
this volume, my suspicion is that this unease emerges from a conviction, 
which he has both taught and lived: the servant cannot be greater than 
his Master. But even servants can be thanked. Nor is there anything in-
congruous, in speaking of this Master, as this book will do, to acknowl-
edge those who have served him well, whether they are the theologians 
of the early church or our honoree. If there is even the slightest suspi-
cion that this book might signal the twilight of Brian’s scholarly career, 
then let us clearly announce that this volume is simply a timely expres-
sion of thanks and encouragement to our teacher, colleague, and, above 
all, friend. Ad multos annos! I 
have arranged the essays that follow in chronological order. The 
 volume opens with D. Jeffrey Bingham’s examination of the role 
that apocalyptic motifs and the book of Revelation played in the Letter 
to the Churches of Lyons and Vienne.",430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation$@$20250530_170954/430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation.pdf#page=8
9,"If there is even the slightest suspi-
cion that this book might signal the twilight of Brian’s scholarly career, 
then let us clearly announce that this volume is simply a timely expres-
sion of thanks and encouragement to our teacher, colleague, and, above 
all, friend. Ad multos annos! I 
have arranged the essays that follow in chronological order. The 
 volume opens with D. Jeffrey Bingham’s examination of the role 
that apocalyptic motifs and the book of Revelation played in the Letter 
to the Churches of Lyons and Vienne. The Letter was written shortly after 
the persecution of Christians in Lyons in 177 and is preserved by Euse-
bius in his Ecclesiastical History (5.1.3–5.3.3). Bingham demonstrates 
that the martyr accounts in the Letter give voice to a wide range of 
apocalyptic motifs and draw extensively upon themes voiced in John’s 
Apocalypse. From these apocalyptic perspectives on the martyrs’ deaths 
arises a Christology that depicts the martyrs as followers of Christ the 
“Lamb” (Rev 14:4). Bingham argues further that the Letter portrays 
Christ the Lamb and his martyr-followers as sacriﬁ cial victims, whose 
self- offerings had a militaristic tenor: the martyrs shared in Christ’s 
own combat against the Adversary, a combat that was apologetic and 
revelatory as Christ’s martyrs demonstrated the solidity of their faith to 
their onlookers. Khaled Anatolios ushers us into the early fourth century with his 
gentle critique of Karl Rahner’s critical assessment of “classical Chris-
tology.” Rahner contended that patristic Christology was overly preoc-
cupied with ontological and not functional concerns, that is, it offered a
6 Peter W. Martens
Christology concerned with Christ’s “nature” and “person” but insufﬁ -
ciently attentive to the salviﬁ c work of Christ in his life, death, and res-
urrection pro nobis. With Athanasius’s On the Incarnation in mind, 
Anatolios shows that in many ways this early theologian’s exposition of 
“classical Christology” was more “functional” than even Rahner might 
have suspected. Anatolios concludes by taking up Rahner’s recommen-
dation to translate the basic insights of Athanasius’s Christology into 
simple statements that have a straightforward relevance to the experi-
ence of the Christian faith today. The next two essays explore the “Athanasius of the West,” Hilary 
of Poitiers. Michael C. McCarthy, S.J., offers an eloquent piece on Hil-
ary’s interpretation of the Psalms. McCarthy reminds us that ancient 
interpreters of the Psalms, Hilary included, viewed them as the Word 
of God operating at a particular moment in the history of the church 
and the life of the individual Christian. For Hilary, McCarthy con-
tends, the Psalms did not simply provide locutions for healing present 
maladies but also offered a future orientation.",430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation$@$20250530_170954/430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation.pdf#page=9
10,"The next two essays explore the “Athanasius of the West,” Hilary 
of Poitiers. Michael C. McCarthy, S.J., offers an eloquent piece on Hil-
ary’s interpretation of the Psalms. McCarthy reminds us that ancient 
interpreters of the Psalms, Hilary included, viewed them as the Word 
of God operating at a particular moment in the history of the church 
and the life of the individual Christian. For Hilary, McCarthy con-
tends, the Psalms did not simply provide locutions for healing present 
maladies but also offered a future orientation. In particular, the return 
of Christ, the judgment, the ﬁ nal transformation, and the handing 
over of the kingdom to the Father formed the outermost frame of the 
nar rative wherein Hilary interpreted the Psalms in his Tractatus super 
 Psalmos. Carl L. Beckwith, in his essay on Hilary of Poitiers, argues against 
the school of scholarship that maintains Hilary was a Docetist because 
he claimed that Christ suffered without pain. Beckwith contends that 
when we read Hilary’s comments on Christ’s suffering in the larger 
context of his De Trinitate, bearing in mind both his philosophical com-
mitment to Stoic moral psychology and his theological adversaries, his 
Christology not only escapes suspicion but also emerges as a signiﬁ cant 
contribution to fourth-century patristic thought. We return to the Greek world with Christopher A. Beeley’s essay 
on Gregory of Nazianzus. Beeley asserts that Gregory’s doctrine of 
Christ is wrongly summarized in the standard accounts as “dualist.” Beeley argues for the predominantly unitive character of Gregory’s 
Christology by offering a sensitive examination of whether biblical ref-
erences to Christ’s actions refer to one or two acting subjects, and by 
 exploring the ramiﬁ cations of a purported dualist Christology for Greg-
Introduction 7
ory’s own understanding of salvation and the Christian life. Beeley also 
raises (and dismisses) the claim that Gregory of Nazianzus was in any 
way fundamentally anti-Apollinarian. Eustathius of Antioch, an early opponent of Arius, receives con-
siderable attention in Kelley McCarthy Spoerl’s essay. Spoerl offers a 
detailed examination of the trinitarian and christological features of 
Eustathius of Antioch’s thought and compares his views with those of 
another early opponent of Arius, Marcellus of Ancyra. Spoerl high-
lights the kinship between these two pro-Nicene theologians, as well as 
their notable differences. She concludes by suggesting that their trini-
tarian and christological afﬁ nities provide clues to the emergence of 
Apollinarius’s Christology, a later and very different Christology from 
within the same pro-Nicene coalition. The next four essays touch on various facets of Augustine’s Chris-
tology. Basil Studer compares Origen and Augustine on the theme of 
loving Christ, emphasizing the love and friendship that exists between 
believers and Christ. Studer focuses in particular on the practice of the-
ology.",430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation$@$20250530_170954/430183501-Peter-W-Martens-Ed-in-the-Shadow-of-the-Incarnation.pdf#page=10
